longitude,latitude,fid,e_vel,n_vel,e_err,n_err,station,ref
100.094,25.979,"5100",2.2,-12.6,0.4,0.4,H124_GPS,wang_shen_2020
103.769,25.495,"5101",7.2,-2.6,0.7,0.6,H125_GPS,wang_shen_2020
103.241,25.608,"5102",6.4,-6.9,0.3,0.3,H126_GPS,wang_shen_2020
102.941,25.798,"5103",7.2,-11,0.3,0.3,H127_GPS,wang_shen_2020
102.505,25.577,"5104",5.9,-11.9,0.2,0.2,H128_GPS,wang_shen_2020
101.902,25.642,"5105",7.3,-10.6,0.4,0.4,H129_GPS,wang_shen_2020
100.56,25.797,"5106",4.7,-10.7,0.2,0.2,H131_GPS,wang_shen_2020
103.656,25.022,"5107",7.4,-3.1,0.7,0.6,H132_GPS,wang_shen_2020
102.517,25.237,"5108",6.7,-10.9,0.6,0.5,H134_GPS,wang_shen_2020
102.071,25.155,"5109",3.5,-11.6,0.4,0.3,H135_GPS,wang_shen_2020
101.573,24.985,"5110",2.5,-10.7,0.5,0.4,H136_GPS,wang_shen_2020
101.265,25.213,"5111",3.5,-10.1,0.4,0.4,H137_GPS,wang_shen_2020
100.548,25.482,"5112",2.8,-10.7,0.3,0.3,H138_GPS,wang_shen_2020
100.496,25.341,"5113",1.9,-10.1,0.3,0.3,H140_GPS,wang_shen_2020
100.522,25.037,"5114",1.3,-10.8,0.5,0.4,H141_GPS,wang_shen_2020
103.261,24.769,"5115",6.7,-3.9,0.5,0.5,H143_GPS,wang_shen_2020
102.923,24.679,"5116",6.6,-8.4,0.7,0.6,H144_GPS,wang_shen_2020
102.153,24.676,"5117",3.7,-10.6,0.4,0.4,H145_GPS,wang_shen_2020
101.633,24.688,"5118",3.6,-9.2,1.2,1.2,H146_GPS,wang_shen_2020
100.314,24.837,"5119",1.7,-10,0.3,0.3,H147_GPS,wang_shen_2020
102.577,24.375,"5120",5,-9.6,0.6,0.5,H149_GPS,wang_shen_2020
102.439,24.188,"5121",3,-9.3,0.4,0.3,H150_GPS,wang_shen_2020
101.975,24.07,"5122",2.4,-9.1,0.4,0.3,H151_GPS,wang_shen_2020
101.093,24.023,"5123",2.2,-9.1,0.4,0.4,H152_GPS,wang_shen_2020
100.876,24.417,"5124",1.5,-8.8,0.4,0.4,H153_GPS,wang_shen_2020
103.42,24.108,"5125",7.7,-2.7,0.4,0.3,H154_GPS,wang_shen_2020
102.496,23.719,"5126",4.4,-7.2,0.6,0.6,H156_GPS,wang_shen_2020
101.994,23.597,"5127",2.3,-10,0.6,0.5,H157_GPS,wang_shen_2020
101.685,23.434,"5128",3.6,-10.1,0.7,0.6,H158_GPS,wang_shen_2020
101.389,23.29,"5129",1.2,-9.9,1,0.9,H159_GPS,wang_shen_2020
100.895,23.868,"5130",1.6,-8.9,0.5,0.3,H160_GPS,wang_shen_2020
100.09,23.881,"5131",-1.9,-8.4,0.4,0.3,H162_GPS,wang_shen_2020
100.111,23.598,"5132",-2.7,-10.2,1.6,1.3,H163_GPS,wang_shen_2020
103.404,23.466,"5133",7.2,-2.3,0.6,0.5,H164_GPS,wang_shen_2020
103.284,23.712,"5134",7.6,-3,0.6,0.5,H165_GPS,wang_shen_2020
